MRE-,ACC+,PRED40+,N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth
212.55,4.44,9.090909091,40,squared_error,3,2.75,10
230.77,-3.05,9.090909091,190,squared_error,18,4.25,6
148.98,10.65,9.090909091,130,squared_error,1,0.75,15
229.3,-3.02,9.090909091,170,squared_error,17,4.25,13
110.28,-0.29,0,180,absolute_error,17,6.75,14
231.27,-3.06,9.090909091,200,squared_error,19,4.25,1
201.27,0.91,9.090909091,130,squared_error,3,2.5,17
229.62,-3.03,9.090909091,30,poisson,6,9.25,10
109.21,-0.26,0,190,absolute_error,8,8.25,2
241.5,-3.25,9.090909091,90,squared_error,8,5.5,4
236.49,-3.16,9.090909091,80,squared_error,13,6,17
248.85,-3.39,9.090909091,10,poisson,1,5.5,9
228.52,-3.01,9.090909091,190,squared_error,9,3.5,5
122.99,14.09,9.090909091,40,squared_error,1,0.25,19
233.94,-3.11,9.090909091,120,poisson,5,6.5,10
240.05,-3.23,9.090909091,150,poisson,2,6.25,9
241.47,-3.25,9.090909091,180,poisson,19,0.5,6
237.91,-3.19,9.090909091,190,squared_error,10,3.75,2
221.33,-2.59,9.090909091,160,squared_error,1,4.5,8
234.66,-3.13,9.090909091,180,poisson,10,1.25,10
117.5,-0.49,0,40,absolute_error,5,9.5,16
233.93,-3.11,9.090909091,190,poisson,1,2.75,14
230.82,-2.86,9.090909091,200,squared_error,9,5,5
238.16,-3.19,9.090909091,140,poisson,5,6,3
232.56,-3.09,9.090909091,60,squared_error,20,6,3
242.19,-3.27,9.090909091,100,poisson,6,3.5,2
111.82,-0.33,0,110,absolute_error,12,3.5,11
243.97,-3.3,9.090909091,60,squared_error,17,1.5,18
112.08,-0.34,0,120,absolute_error,2,2.5,11
112.94,-0.36,0,170,absolute_error,13,8,18
232.82,-3.09,9.090909091,30,squared_error,11,6.75,1
253.85,-3.48,9.090909091,10,squared_error,1,6.75,5
237.21,-3.17,9.090909091,150,squared_error,12,1.5,1
215.58,-2.76,0,20,squared_error,16,2.25,3
219.06,-2.83,0,50,squared_error,4,4.5,7
230.67,-3.05,9.090909091,150,squared_error,14,5.5,18
225.61,-2.48,9.090909091,120,squared_error,1,4.75,3
108.57,-0.24,0,140,absolute_error,8,6.25,14
233.37,-3.1,9.090909091,80,squared_error,16,9.25,20
110,-0.28,0,160,absolute_error,1,7,9
118,-0.5,0,50,absolute_error,9,2,5
115.45,-0.43,0,110,absolute_error,4,2.5,18
234.78,-3.13,9.090909091,70,poisson,16,4.5,14
234.21,-3.12,9.090909091,180,poisson,12,1.25,11
105,-0.14,0,10,absolute_error,5,8.5,19
240.51,-3.24,9.090909091,30,squared_error,20,3.75,19
215.58,0.2,9.090909091,100,squared_error,6,3.75,1
111,-0.31,0,100,absolute_error,13,3.25,13
237.31,-3.18,9.090909091,100,poisson,16,4.75,11
237.88,-3.19,9.090909091,20,squared_error,16,7,10
230.9,-3.05,9.090909091,180,poisson,18,8.75,3
234.49,-3.12,9.090909091,120,poisson,18,2.75,2
235.05,-3.13,9.090909091,170,poisson,14,10,2
105.83,-0.17,0,60,absolute_error,17,9,5
226.15,-2.96,9.090909091,10,poisson,11,3.75,2
112.86,-0.36,0,140,absolute_error,17,1.75,13
109.29,-0.26,0,70,absolute_error,18,4,7
