Clndrs,Volume,Model,origin,Lbs-,Acc+,Mpg+
4,361,82,1,2644,10.0,40
8,403,76,1,1984,16.3,40
8,381,82,1,4450,15.6,20
3,232,70,1,1704,19.0,10
8,421,73,2,4573,8.5,20
8,323,78,1,3015,11.9,20
8,218,70,2,3879,23.7,10
4,392,81,2,2095,20.6,40
4,225,74,3,3645,22.4,40
3,315,73,3,4866,14.9,20
6,350,81,3,4623,14.4,40
3,153,78,2,3117,16.3,10
8,92,74,3,4118,18.1,40
4,156,78,1,1650,21.1,20
8,333,75,3,3047,15.8,30
3,266,82,3,3699,21.8,20
8,98,77,2,3934,17.4,40
8,252,76,2,1606,17.2,30
8,377,70,1,4202,11.0,20
3,352,82,2,1732,22.3,10
3,78,77,1,4688,20.8,20
6,126,82,3,2356,13.9,10
4,151,74,3,2288,19.2,30
8,429,75,2,3540,9.9,30
8,245,76,1,2658,9.8,20
8,80,73,1,3227,10.5,20
8,430,78,3,3347,17.3,20
8,184,78,3,1725,14.7,30
8,100,81,2,2114,24.5,10
6,106,71,2,2820,20.6,40
6,136,70,3,1755,18.0,20
8,157,82,3,4151,16.7,40
4,247,71,1,3948,19.5,40
4,322,71,3,3197,13.0,40
3,236,79,2,2752,8.3,20
6,358,82,1,2988,15.3,30
3,264,78,2,4414,17.1,20
3,441,70,1,2144,10.9,20
6,240,79,3,2645,14.3,30
3,219,73,3,4792,24.2,40
4,366,78,1,2913,8.7,10
8,145,72,2,2069,18.5,40
3,362,78,1,3918,9.4,30
6,221,79,3,2068,15.8,30
3,93,74,1,4113,19.4,10
8,128,82,1,2369,12.1,40
4,129,77,1,4388,12.1,10
8,263,82,3,4951,13.0,30
8,231,71,1,4270,13.4,10
3,221,81,3,2911,15.6,30
8,102,71,2,4063,24.5,10
6,180,82,3,4786,24.7,40
6,202,72,3,2451,13.2,20
6,111,74,1,4685,15.6,30
4,269,74,1,2940,11.2,30
4,241,71,3,4104,17.8,10
4,182,70,1,3245,9.2,10
3,81,80,1,2791,20.8,30
8,310,72,1,3653,21.2,30
3,330,80,1,2335,21.2,20
6,226,71,3,3706,22.2,30
4,175,72,3,4559,8.5,30
4,161,74,2,3801,10.7,20
6,102,80,2,4910,15.3,30
8,345,77,1,3220,22.2,20
6,318,70,3,3306,24.6,10
3,424,75,3,2166,18.1,20
6,211,76,3,3242,10.9,10
4,318,70,1,3765,13.4,40
4,192,75,2,4413,16.1,20
8,242,78,3,4582,23.6,30
4,94,71,3,4243,22.9,20
4,229,74,3,2827,22.4,30
4,429,81,3,3503,18.1,10
8,160,72,2,3347,11.7,10
8,418,76,3,4209,13.9,20
3,338,71,2,4174,9.7,10
4,385,80,3,4468,9.4,20
8,291,76,1,2933,15.4,40
4,131,76,3,3787,14.9,10
6,212,73,2,4670,17.5,20
8,366,70,1,4170,24.5,20
6,175,72,2,2207,17.2,30
6,369,82,2,4399,15.6,20
6,321,76,1,4750,11.6,40
4,215,82,1,4907,8.4,10
6,415,82,3,4259,10.3,30
6,293,78,3,3061,20.9,30
3,133,77,3,3441,14.0,40
6,444,80,3,3616,9.9,40
8,174,78,1,2737,18.8,20
8,377,78,2,4650,20.1,30
4,300,79,3,3774,11.4,10
8,366,76,2,2976,22.6,10
8,451,73,3,4257,12.9,10
8,439,80,1,4195,21.2,40
6,161,82,1,4939,21.2,10
6,205,82,3,3284,22.9,30
4,306,74,2,2294,15.9,10
6,331,71,3,4019,15.2,30
3,406,77,1,2272,16.6,20
3,275,80,3,2729,18.3,20
4,191,75,2,1880,9.3,30
8,331,78,3,1803,10.9,30
6,382,81,1,3207,17.5,20
8,202,79,2,4532,11.8,20
3,388,76,2,3368,23.9,20
6,167,71,3,4599,10.8,40
4,380,74,2,3756,10.8,20
